№ таблицы     Время     
vopros1 :     1.719
vopros2 :     0.0858
vopros3 :     0.0954
vopros4 :     0.0906
vopros5 :     0.1002
vopros6 :     0.1056
vopros7 :     0.273
vopros8 :     0.072
vopros9 :     1.3098
vopros10 :     0.1008
vopros11 :     0.1008
vopros12 :     0.096
vopros13 :     0.2154
vopros14 :     0.111
vopros15 :     0.09
vopros16 :     0.105
vopros17 :     0.1026
vopros18 :     0.1044
vopros19 :     0.1044
vopros20 :     0.1152
vopros21 :     0.1002
vopros22 :     0.1008
vopros23 :     0.1104
vopros24 :     0.096
vopros25 :     0.1002
vopros26 :     0.096
vopros27 :     0.1068
vopros28 :     0.0954
vopros29 :     0.0954
vopros30 :     0.1104
vopros31 :     0.1002
vopros32 :     0.081
vopros33 :     0.1056
vopros34 :     0.105
vopros35 :     0.0924
vopros36 :     0.0924
vopros37 :     0.0888
vopros38 :     0.1866
vopros39 :     0.105
vopros40 :     0.096
vopros41 :     0.0912
vopros42 :     0.1008
vopros43 :     0.1008
vopros44 :     0.0966
vopros45 :     0.1146
vopros46 :     0.102
vopros47 :     0.1086
vopros48 :     0.1008
vopros49 :     0.1044
vopros50 :     0.1002
vopros51 :     0.1008
vopros52 :     0.1248
vopros53 :     0.1062
vopros54 :     0.096
vopros55 :     0.1062
vopros56 :     0.1044
vopros57 :     0.1008
vopros58 :     0.1152
vopros59 :     0.1008
vopros60 :     0.105
vopros61 :     0.1158
vopros62 :     0.1296
vopros63 :     0.0864
vopros64 :     0.1056
vopros65 :     0.1056
vopros66 :     0.1098
vopros67 :     0.1152
vopros68 :     0.1158
vopros69 :     0.0942
vopros70 :     0.1296
vopros71 :     0.1248
vopros72 :     0.0954
vopros73 :     0.1152
vopros74 :     0.1338
vopros75 :     0.1098
vopros76 :     0.111
vopros77 :     0.12
vopros78 :     0.12
vopros79 :     0.1248
vopros80 :     0.1152
vopros81 :     0.1092
vopros82 :     0.1194
vopros83 :     0.1002
vopros84 :     0.1242
vopros85 :     0.1296
vopros86 :     0.1248
vopros87 :     0.1152
vopros88 :     0.1104
vopros89 :     0.1092
vopros90 :     0.1386
vopros91 :     0.12
vopros92 :     0.1218
vopros93 :     0.129
vopros94 :     0.0966
vopros95 :     0.1128
vopros96 :     0.1146
vopros97 :     0.1362
vopros98 :     0.1188
vopros99 :     0.114
vopros100 :     0.1152
vopros101 :     0.1194
vopros102 :     0.2442
vopros103 :     0.1008
vopros104 :     0.0858
vopros105 :     0.2058
vopros106 :     0.1056
vopros107 :     0.12
vopros108 :     0.1146
vopros109 :     0.1242
vopros110 :     0.1056
vopros111 :     0.1434
vopros112 :     0.1248
vopros113 :     0.1248
vopros114 :     0.1296
vopros115 :     0.1314
vopros116 :     0.1272
vopros117 :     0.1104
vopros118 :     0.1248
vopros119 :     0.1248
vopros120 :     0.1344
vopros121 :     0.1254
vopros122 :     0.1248
vopros123 :     0.1134
vopros124 :     0.1116
vopros125 :     0.1008
vopros126 :     0.1092
vopros127 :     0.1158
vopros128 :     0.1146
vopros129 :     0.1104
vopros130 :     0.1146
vopros131 :     0.1104
vopros132 :     0.1008
vopros133 :     0.096
vopros134 :     0.192
vopros135 :     0.0996
vopros136 :     0.1008
vopros137 :     0.1104
vopros138 :     0.096
vopros139 :     0.1098
vopros140 :     0.1104
vopros141 :     0.1206
vopros142 :     0.114
vopros143 :     0.129
vopros144 :     0.12
vopros145 :     0.1158
vopros146 :     0.1152
vopros147 :     0.1194
vopros148 :     0.1242
vopros149 :     0.111
vopros150 :     0.129
vopros151 :     0.1254
vopros152 :     0.12
vopros153 :     0.1386
vopros154 :     0.105
vopros155 :     0.1146
vopros156 :     0.1104
vopros157 :     0.1146
vopros158 :     0.1206
vopros159 :     0.1242
vopros160 :     0.1158
vopros161 :     0.1212
vopros162 :     0.1038
vopros163 :     0.1194
vopros164 :     0.1152
vopros165 :     0.1044
vopros166 :     0.1242
vopros167 :     0.1152
vopros168 :     0.1302
vopros169 :     0.1248
vopros170 :     0.1194
vopros171 :     0.1152
vopros172 :     0.1188
vopros173 :     0.1098
vopros174 :     0.1098
vopros175 :     0.1206
vopros176 :     0.12
vopros177 :     0.1242
vopros178 :     0.1152
vopros179 :     0.12
vopros180 :     0.1008
vopros181 :     0.129
vopros182 :     0.1146
vopros183 :     0.1212
vopros184 :     0.1116
vopros185 :     0.108
vopros186 :     0.1248
vopros187 :     0.1134
Общее время: 22.5708
