          Баллы    Нормированные баллы
Фактор A    7    3
Фактор B    2    1
Фактор C    11    4
Фактор E    13    5
Фактор F    18    7
Фактор G    9    5
Фактор H    19    8
Фактор I    14    8
Фактор L    8    4
Фактор M    14    7
Фактор N    12    8
Фактор O    13    7
Фактор Q1   10    6
Фактор Q2   10    5
Фактор Q3   7    2
Фактор Q4   14    6
