          Баллы    Нормированные баллы
Фактор A    9    4
Фактор B    6    4
Фактор C    13    5
Фактор E    16    7
Фактор F    13    6
Фактор G    13    5
Фактор H    15    6
Фактор I    12    8
Фактор L    12    6
Фактор M    13    6
Фактор N    11    6
Фактор O    14    8
Фактор Q1   10    6
Фактор Q2   10    5
Фактор Q3   11    5
Фактор Q4   15    7
