          Баллы    Нормированные баллы
Фактор A    11    5
Фактор B    7    6
Фактор C    15    7
Фактор E    15    7
Фактор F    10    5
Фактор G    14    5
Фактор H    17    8
Фактор I    14    5
Фактор L    13    7
Фактор M    9    4
Фактор N    14    7
Фактор O    12    6
Фактор Q1   12    8
Фактор Q2   14    7
Фактор Q3   8    3
Фактор Q4   13    5
