          Баллы    Нормированные баллы
Фактор A    10    4
Фактор B    5    4
Фактор C    15    7
Фактор E    13    6
Фактор F    20    10
Фактор G    7    1
Фактор H    13    7
Фактор I    11    4
Фактор L    6    2
Фактор M    14    7
Фактор N    9    4
Фактор O    12    6
Фактор Q1   9    6
Фактор Q2   10    5
Фактор Q3   8    3
Фактор Q4   15    6
