№ таблицы     Время     
vopros1 :     0.4956
vopros2 :     0.093
vopros3 :     0.0828
vopros4 :     0.081
vopros5 :     0.156
vopros6 :     0.0756
vopros7 :     0.0834
vopros8 :     0.0714
vopros9 :     0.0726
vopros10 :     0.0648
vopros11 :     0.0804
vopros12 :     0.1104
vopros13 :     0.0654
vopros14 :     0.0798
vopros15 :     0.057
vopros16 :     0.0564
vopros17 :     0.0606
vopros18 :     0.0702
vopros19 :     0.2526
vopros20 :     0.0708
vopros21 :     0.0804
vopros22 :     0.0672
vopros23 :     0.0852
vopros24 :     0.0798
vopros25 :     0.0852
vopros26 :     0.084
vopros27 :     0.0846
vopros28 :     0.0852
vopros29 :     0.0888
vopros30 :     0.099
vopros31 :     0.0894
vopros32 :     0.0792
vopros33 :     0.0804
vopros34 :     0.0732
vopros35 :     0.0846
vopros36 :     0.0804
vopros37 :     0.0792
vopros38 :     0.084
vopros39 :     0.0756
vopros40 :     0.081
vopros41 :     0.081
vopros42 :     0.0792
vopros43 :     0.081
vopros44 :     0.0786
vopros45 :     0.075
vopros46 :     0.075
vopros47 :     0.0702
vopros48 :     0.0756
vopros49 :     0.1374
vopros50 :     0.0702
vopros51 :     0.1284
vopros52 :     0.0744
vopros53 :     0.1368
vopros54 :     0.081
vopros55 :     0.0864
vopros56 :     0.0834
vopros57 :     0.1896
vopros58 :     0.0876
vopros59 :     0.0798
vopros60 :     0.0798
vopros61 :     0.0738
vopros62 :     0.0834
vopros63 :     0.084
vopros64 :     0.0924
vopros65 :     0.0876
vopros66 :     0.1362
vopros67 :     0.3234
vopros68 :     0.0876
vopros69 :     0.0246
vopros70 :     0.024
vopros71 :     0.0246
vopros72 :     0.0228
vopros73 :     0.0228
vopros74 :     0.0228
vopros75 :     0.2058
vopros76 :     0.0882
vopros77 :     0.0996
vopros78 :     0.0852
vopros79 :     0.0792
vopros80 :     0.0834
vopros81 :     0.0786
vopros82 :     0.072
vopros83 :     0.1164
vopros84 :     0.078
vopros85 :     0.1164
vopros86 :     0.0828
vopros87 :     0.0702
vopros88 :     0.072
vopros89 :     0.0774
vopros90 :     0.114
vopros91 :     0.0606
vopros92 :     0.0822
vopros93 :     0.0888
vopros94 :     0.1056
vopros95 :     0.069
vopros96 :     0.0768
vopros97 :     0.0936
vopros98 :     0.0768
vopros99 :     0.0834
vopros100 :     0.0822
vopros101 :     0.0822
vopros102 :     0.0828
vopros103 :     0.0828
vopros104 :     0.099
vopros105 :     0.0966
vopros106 :     0.1002
vopros107 :     0.102
vopros108 :     0.15
vopros109 :     0.1974
vopros110 :     0.1926
vopros111 :     0.2094
vopros112 :     0.1896
vopros113 :     0.1836
vopros114 :     0.1596
vopros115 :     0.1008
vopros116 :     0.0864
vopros117 :     0.0834
vopros118 :     0.0852
vopros119 :     0.0822
vopros120 :     0.1068
vopros121 :     0.1104
vopros122 :     0.1458
vopros123 :     0.1326
vopros124 :     0.1062
vopros125 :     0.1122
vopros126 :     0.0978
vopros127 :     0.1026
vopros128 :     0.0834
vopros129 :     0.111
vopros130 :     0.2742
vopros131 :     0.0888
vopros132 :     0.0876
vopros133 :     0.0972
vopros134 :     0.0846
vopros135 :     0.0888
vopros136 :     0.0828
vopros137 :     0.0924
vopros138 :     0.0888
vopros139 :     0.0744
vopros140 :     0.1032
vopros141 :     0.1038
vopros142 :     0.0852
vopros143 :     0.1026
vopros144 :     0.0972
vopros145 :     0.093
vopros146 :     0.093
vopros147 :     0.1842
vopros148 :     0.0918
vopros149 :     0.0984
vopros150 :     0.0966
vopros151 :     0.1026
vopros152 :     0.1032
vopros153 :     0.1542
vopros154 :     0.1188
vopros155 :     0.1074
vopros156 :     0.1878
vopros157 :     0.0936
vopros158 :     0.0978
vopros159 :     0.0876
vopros160 :     0.1452
vopros161 :     0.0996
vopros162 :     0.096
vopros163 :     0.2046
vopros164 :     0.081
vopros165 :     0.2184
vopros166 :     0.0876
vopros167 :     0.0888
vopros168 :     0.099
vopros169 :     0.1878
vopros170 :     0.0876
vopros171 :     0.0972
vopros172 :     0.0882
vopros173 :     0.0888
vopros174 :     0.183
vopros175 :     0.0834
vopros176 :     0.0918
vopros177 :     0.0828
vopros178 :     0.087
vopros179 :     0.081
vopros180 :     0.2088
vopros181 :     0.0822
vopros182 :     0.0924
vopros183 :     0.0792
vopros184 :     0.0834
vopros185 :     0.0834
vopros186 :     0.0996
vopros187 :     0.0978
Общее время: 18.471
