№ таблицы     Время     
vopros1 :     0.642
vopros2 :     0.09
vopros3 :     0.0852
vopros4 :     0.0942
vopros5 :     0.2172
vopros6 :     0.0882
vopros7 :     0.1752
vopros8 :     0.144
vopros9 :     0.195
vopros10 :     0.0864
vopros11 :     0.15
vopros12 :     0.0714
vopros13 :     0.0798
vopros14 :     0.0828
vopros15 :     0.105
vopros16 :     0.1998
vopros17 :     0.1008
vopros18 :     0.0864
vopros19 :     0.0762
vopros20 :     0.0834
vopros21 :     0.0852
vopros22 :     0.1434
vopros23 :     0.0786
vopros24 :     0.117
vopros25 :     0.0744
vopros26 :     0.0516
vopros27 :     0.0666
vopros28 :     0.087
vopros29 :     0.3498
vopros30 :     0.0954
vopros31 :     0.0906
vopros32 :     0.0858
vopros33 :     0.0948
vopros34 :     0.0858
vopros35 :     0.2202
vopros36 :     0.0906
vopros37 :     0.12
vopros38 :     0.1194
vopros39 :     0.105
vopros40 :     0.24
vopros41 :     0.1236
vopros42 :     0.2826
vopros43 :     0.1008
vopros44 :     0.0954
vopros45 :     0.1002
vopros46 :     0.0954
vopros47 :     0.0852
vopros48 :     0.0906
vopros49 :     0.102
vopros50 :     0.0852
vopros51 :     0.0948
vopros52 :     0.1176
vopros53 :     0.1014
vopros54 :     0.096
vopros55 :     0.7146
vopros56 :     0.0954
vopros57 :     0.1098
vopros58 :     0.12
vopros59 :     0.171
vopros60 :     0.2154
vopros61 :     0.0918
vopros62 :     0.0912
vopros63 :     0.0996
vopros64 :     0.096
vopros65 :     0.1098
vopros66 :     0.1998
vopros67 :     0.1122
vopros68 :     0.0936
vopros69 :     0.129
vopros70 :     0.1002
vopros71 :     0.114
vopros72 :     0.1188
vopros73 :     0.1104
vopros74 :     0.1092
vopros75 :     0.1254
vopros76 :     0.1002
vopros77 :     0.096
vopros78 :     0.0918
vopros79 :     0.0936
vopros80 :     0.225
vopros81 :     0.0912
vopros82 :     0.192
vopros83 :     0.3918
vopros84 :     0.0954
vopros85 :     0.1056
vopros86 :     0.1182
vopros87 :     0.1002
vopros88 :     0.1074
vopros89 :     0.0924
vopros90 :     0.1056
vopros91 :     0.1194
vopros92 :     0.1146
vopros93 :     0.1158
vopros94 :     0.333
vopros95 :     0.1158
vopros96 :     0.1092
vopros97 :     0.1152
vopros98 :     0.1236
vopros99 :     0.1056
vopros100 :     0.1002
vopros101 :     0.1056
vopros102 :     0.1242
vopros103 :     0.1086
vopros104 :     0.12
vopros105 :     0.108
vopros106 :     0.1026
vopros107 :     0.1194
vopros108 :     0.1044
vopros109 :     0.1014
vopros110 :     0.2442
vopros111 :     0.108
vopros112 :     0.1134
vopros113 :     0.1176
vopros114 :     0.1086
vopros115 :     0.114
vopros116 :     0.105
vopros117 :     0.12
vopros118 :     0.1098
vopros119 :     0.1584
vopros120 :     0.4506
vopros121 :     0.1272
vopros122 :     0.1206
vopros123 :     0.165
vopros124 :     0.093
vopros125 :     0.1296
vopros126 :     0.1278
vopros127 :     0.12
vopros128 :     0.1212
vopros129 :     0.1086
vopros130 :     0.123
vopros131 :     0.1206
vopros132 :     0.1176
vopros133 :     0.1056
vopros134 :     0.1044
vopros135 :     0.1152
vopros136 :     0.1188
vopros137 :     0.1152
vopros138 :     0.129
vopros139 :     0.1284
vopros140 :     0.1368
vopros141 :     0.132
vopros142 :     0.1242
vopros143 :     0.3348
vopros144 :     0.1242
vopros145 :     0.1188
vopros146 :     0.1002
vopros147 :     0.105
vopros148 :     0.1284
vopros149 :     0.1248
vopros150 :     0.1134
vopros151 :     0.0978
vopros152 :     0.1236
vopros153 :     0.1044
vopros154 :     0.1284
vopros155 :     0.111
vopros156 :     0.1152
vopros157 :     0.45
vopros158 :     0.1002
vopros159 :     0.1014
vopros160 :     0.1128
vopros161 :     0.1008
vopros162 :     0.2388
vopros163 :     0.0972
vopros164 :     0.108
vopros165 :     0.12
vopros166 :     0.3492
vopros167 :     0.1098
vopros168 :     0.0954
vopros169 :     0.12
vopros170 :     0.105
vopros171 :     0.114
vopros172 :     0.1242
vopros173 :     0.1242
vopros174 :     0.1266
vopros175 :     0.1134
vopros176 :     0.1236
vopros177 :     0.1386
vopros178 :     0.0954
vopros179 :     0.1296
vopros180 :     0.1248
vopros181 :     0.1194
vopros182 :     0.1332
vopros183 :     0.0996
vopros184 :     0.1218
vopros185 :     0.1086
vopros186 :     0.3552
vopros187 :     0.4692
Общее время: 24.7566
