№ таблицы     Время     
vopros1 :     0.7404
vopros2 :     0.159
vopros3 :     0.4032
vopros4 :     0.291
vopros5 :     0.0942
vopros6 :     0.1776
vopros7 :     0.0942
vopros8 :     0.1878
vopros9 :     0.0936
vopros10 :     0.1032
vopros11 :     0.1878
vopros12 :     0.0936
vopros13 :     0.1032
vopros14 :     0.0936
vopros15 :     0.0936
vopros16 :     0.1032
vopros17 :     0.1032
vopros18 :     0.0936
vopros19 :     0.1032
vopros20 :     0.0936
vopros21 :     0.1032
vopros22 :     0.1032
vopros23 :     0.1122
vopros24 :     0.1224
vopros25 :     0.1122
vopros26 :     0.1128
vopros27 :     0.1218
vopros28 :     0.1032
vopros29 :     0.1218
vopros30 :     0.1218
vopros31 :     0.3
vopros32 :     0.1122
vopros33 :     0.1224
vopros34 :     0.1122
vopros35 :     0.1128
vopros36 :     0.1218
vopros37 :     0.117
vopros38 :     0.1218
vopros39 :     0.1128
vopros40 :     0.1218
vopros41 :     0.1122
vopros42 :     0.1314
vopros43 :     0.1122
vopros44 :     0.1032
vopros45 :     0.1128
vopros46 :     0.1218
vopros47 :     0.1128
vopros48 :     0.1218
vopros49 :     0.1308
vopros50 :     0.1128
vopros51 :     0.1218
vopros52 :     0.1128
vopros53 :     0.1122
vopros54 :     0.1314
vopros55 :     0.1218
vopros56 :     0.1218
vopros57 :     0.1404
vopros58 :     0.0942
vopros59 :     0.2436
vopros60 :     0.1032
vopros61 :     0.1218
vopros62 :     0.1032
vopros63 :     0.1314
vopros64 :     0.1122
vopros65 :     0.1122
vopros66 :     0.1032
vopros67 :     0.1032
vopros68 :     0.1122
vopros69 :     0.3942
vopros70 :     0.0936
vopros71 :     0.1128
vopros72 :     0.1032
vopros73 :     0.1404
vopros74 :     0.0936
vopros75 :     0.1224
vopros76 :     0.1122
vopros77 :     0.1032
vopros78 :     0.1218
vopros79 :     0.2346
vopros80 :     0.1032
vopros81 :     0.1032
vopros82 :     0.1122
vopros83 :     0.1218
vopros84 :     0.1128
vopros85 :     0.1308
vopros86 :     0.1032
vopros87 :     0.1122
vopros88 :     0.1098
vopros89 :     0.1032
vopros90 :     0.1128
vopros91 :     0.1122
vopros92 :     0.1128
vopros93 :     0.1308
vopros94 :     0.0942
vopros95 :     0.1218
vopros96 :     0.1314
vopros97 :     0.1122
vopros98 :     0.1122
vopros99 :     0.3564
vopros100 :     0.0936
vopros101 :     0.0936
vopros102 :     0.1152
vopros103 :     0.1128
vopros104 :     0.1218
vopros105 :     0.1128
vopros106 :     0.1308
vopros107 :     0.1128
vopros108 :     0.1032
vopros109 :     0.1284
vopros110 :     0.1044
vopros111 :     0.1032
vopros112 :     0.1032
vopros113 :     0.1218
vopros114 :     0.1122
vopros115 :     0.1128
vopros116 :     0.1032
vopros117 :     0.2904
vopros118 :     0.1032
vopros119 :     0.1122
vopros120 :     0.1032
vopros121 :     0.1128
vopros122 :     0.1218
vopros123 :     0.1032
vopros124 :     0.1122
vopros125 :     0.1032
vopros126 :     0.0936
vopros127 :     0.0936
vopros128 :     0.1122
vopros129 :     0.0942
vopros130 :     0.1062
vopros131 :     0.0936
vopros132 :     0.0942
vopros133 :     0.1032
vopros134 :     0.0936
vopros135 :     0.0936
vopros136 :     0.0936
vopros137 :     0.0936
vopros138 :     0.2532
vopros139 :     0.1032
vopros140 :     0.2904
vopros141 :     0.1032
vopros142 :     0.1032
vopros143 :     0.1032
vopros144 :     0.2064
vopros145 :     0.0936
vopros146 :     0.0936
vopros147 :     0.3564
vopros148 :     0.0936
vopros149 :     0.1128
vopros150 :     0.1032
vopros151 :     0.1032
vopros152 :     0.2154
vopros153 :     0.1128
vopros154 :     0.1026
vopros155 :     0.1224
vopros156 :     0.1872
vopros157 :     0.1032
vopros158 :     0.1032
vopros159 :     0.1122
vopros160 :     0.1032
vopros161 :     0.1032
vopros162 :     0.1128
vopros163 :     0.1026
vopros164 :     0.1032
vopros165 :     0.2814
vopros166 :     0.1032
vopros167 :     0.1032
vopros168 :     0.0936
vopros169 :     0.3564
vopros170 :     0.1032
vopros171 :     0.1122
vopros172 :     0.1032
vopros173 :     0.1128
vopros174 :     0.1122
vopros175 :     0.1128
vopros176 :     0.1128
vopros177 :     0.1122
vopros178 :     0.1128
vopros179 :     0.1122
vopros180 :     0.1296
vopros181 :     0.1032
vopros182 :     0.1218
vopros183 :     0.2436
vopros184 :     0.1128
vopros185 :     0.1032
vopros186 :     0.1026
vopros187 :     0.1128
Общее время: 23.6676
