          Баллы    Нормированные баллы
Фактор A    9    5
Фактор B    2    2
Фактор C    10    3
Фактор E    9    3
Фактор F    15    5
Фактор G    7    3
Фактор H    11    5
Фактор I    11    7
Фактор L    6    3
Фактор M    15    8
Фактор N    7    2
Фактор O    16    9
Фактор Q1   9    5
Фактор Q2   7    4
Фактор Q3   8    4
Фактор Q4   11    5
