№ таблицы     Время     
vopros1 :     24.834
vopros2 :     0.0942
vopros3 :     0.0822
vopros4 :     0.0978
vopros5 :     0.0912
vopros6 :     0.0954
vopros7 :     0.0714
vopros8 :     0.0768
vopros9 :     0.096
vopros10 :     0.0906
vopros11 :     0.0918
vopros12 :     0.0858
vopros13 :     0.0906
vopros14 :     0.0804
vopros15 :     0.096
vopros16 :     0.0924
vopros17 :     0.0894
vopros18 :     0.0966
vopros19 :     0.0954
vopros20 :     0.0906
vopros21 :     0.0906
vopros22 :     0.0924
vopros23 :     0.0822
vopros24 :     0.156
vopros25 :     0.0876
vopros26 :     0.0954
vopros27 :     0.0948
vopros28 :     0.0882
vopros29 :     0.2856
vopros30 :     0.087
vopros31 :     0.105
vopros32 :     0.1014
vopros33 :     0.0948
vopros34 :     0.1626
vopros35 :     0.1032
vopros36 :     0.084
vopros37 :     0.1194
vopros38 :     0.0936
vopros39 :     0.0948
vopros40 :     0.4092
vopros41 :     0.1104
vopros42 :     0.1002
vopros43 :     0.0894
vopros44 :     0.102
vopros45 :     0.0948
vopros46 :     0.0954
vopros47 :     0.1062
vopros48 :     0.1044
vopros49 :     0.105
vopros50 :     0.1014
vopros51 :     0.1092
vopros52 :     0.102
vopros53 :     0.1032
vopros54 :     0.0954
vopros55 :     0.105
vopros56 :     0.0738
vopros57 :     0.2268
vopros58 :     0.0972
vopros59 :     0.1134
vopros60 :     0.0966
vopros61 :     0.0894
vopros62 :     0.1116
vopros63 :     0.1008
vopros64 :     0.0864
vopros65 :     0.114
vopros66 :     0.105
vopros67 :     0.1152
vopros68 :     0.0912
vopros69 :     0.105
vopros70 :     0.0954
vopros71 :     0.1002
vopros72 :     0.513
vopros73 :     0.0906
vopros74 :     0.1206
vopros75 :     0.114
vopros76 :     0.1086
vopros77 :     0.1206
vopros78 :     0.105
vopros79 :     0.1044
vopros80 :     0.111
vopros81 :     0.1146
vopros82 :     0.1092
vopros83 :     0.1068
vopros84 :     0.1272
vopros85 :     0.1068
vopros86 :     0.1152
vopros87 :     0.1716
vopros88 :     0.1098
vopros89 :     0.1008
vopros90 :     0.0966
vopros91 :     0.0966
vopros92 :     0.108
vopros93 :     0.111
vopros94 :     0.111
vopros95 :     0.1194
vopros96 :     0.1146
vopros97 :     0.1014
vopros98 :     0.1092
vopros99 :     0.1032
vopros100 :     0.0996
vopros101 :     0.1092
vopros102 :     0.1182
vopros103 :     0.1074
vopros104 :     0.129
vopros105 :     0.1242
vopros106 :     0.105
vopros107 :     0.1104
vopros108 :     0.1056
vopros109 :     0.1188
vopros110 :     0.1062
vopros111 :     0.1098
vopros112 :     0.1104
vopros113 :     0.1242
vopros114 :     0.1134
vopros115 :     0.1086
vopros116 :     0.1044
vopros117 :     0.1074
vopros118 :     0.1086
vopros119 :     0.1752
vopros120 :     0.0984
vopros121 :     0.099
vopros122 :     0.1134
vopros123 :     0.1206
vopros124 :     0.1098
vopros125 :     0.114
vopros126 :     0.0888
vopros127 :     0.1314
vopros128 :     0.1092
vopros129 :     0.1098
vopros130 :     0.1104
vopros131 :     0.1092
vopros132 :     0.1152
vopros133 :     0.1146
vopros134 :     0.1152
vopros135 :     0.1092
vopros136 :     0.1158
vopros137 :     0.1146
vopros138 :     0.105
vopros139 :     0.1074
vopros140 :     0.195
vopros141 :     0.1062
vopros142 :     0.1086
vopros143 :     0.0918
vopros144 :     0.1608
vopros145 :     0.1068
vopros146 :     0.1176
vopros147 :     0.099
vopros148 :     0.114
vopros149 :     0.1164
vopros150 :     0.105
vopros151 :     0.1038
vopros152 :     0.114
vopros153 :     0.0948
vopros154 :     0.1008
vopros155 :     0.0912
vopros156 :     0.096
vopros157 :     0.096
vopros158 :     0.099
vopros159 :     0.1008
vopros160 :     0.1014
vopros161 :     0.1002
vopros162 :     0.1152
vopros163 :     0.1098
vopros164 :     0.1098
vopros165 :     0.1158
vopros166 :     0.1254
vopros167 :     0.1038
vopros168 :     0.1152
vopros169 :     0.1098
vopros170 :     0.1134
vopros171 :     0.1104
vopros172 :     0.1164
vopros173 :     0.105
vopros174 :     0.111
vopros175 :     0.1086
vopros176 :     0.1248
vopros177 :     0.1146
vopros178 :     0.1248
vopros179 :     0.1176
vopros180 :     0.1074
vopros181 :     0.12
vopros182 :     0.1656
vopros183 :     0.1068
vopros184 :     0.1158
vopros185 :     0.1254
vopros186 :     0.1176
vopros187 :     0.1152
Общее время: 20.9502
